STT,ID,Module,Feature/Screen,Description/Assumptions,"Fields/Components, Component Type, Required?",User Flow
118,3.6.5,,Deactivate Spare Part,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Deactivation via ? on list or [Set Inactive] on Detail page.
- Deactivated spare parts not available for new WO requests.","Popup: Confirm Deactivate Spare Part (Building Manager)

- Message - Display - Text: ""Deactivate [Name]? It will no longer be available for new Work Order requests.""
- Confirm - Button - Danger
- Cancel - Button - Secondary","Flow: Deactivate / Reactivate Spare Part (Building Manager)

Preconditions:
- BM authenticated. Spare part within BM's assigned buildings scope.

Via List:
1. BM clicks ? on spare part row.
2. Confirmation: ""Deactivate [Name]? It will no longer be available for new Work Order requests.""
3. BM confirms:
   3.1. Active On-Hold exists => does NOT deactivate => error: ""Cannot deactivate - active reservations exist. Resolve them first.""
   3.2. Valid => Status: Inactive => removed from WO request dropdowns => success: ""Spare part deactivated successfully.""

Via Detail page:
4. BM clicks [Set Inactive] => same confirmation and checks.

Reactivate:
5. BM opens Inactive spare part => [Set Active] => confirmation => Status: Active => success: ""Spare part activated successfully.""

Edge cases:
- Deactivating part with zero stock and no On-Hold => allowed.
- Network error => ""Failed to deactivate spare part. Please try again.""
"
119,3.6.6,,Record Stock-In Transaction,"CONFIRMED: Any user with CRUD access to Inventory can record Stock-In transactions. This includes Super Admin (all buildings) and Building Manager (assigned buildings only).

- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Records incoming spare parts and updates On-Hand Quantity immediately.
- If new quantity meets or exceeds minimum threshold => system checks for pending Unavailable requests and notifies Supervisor.","Screen: Stock-In (Building Manager)

- [+ New Stock-In] - Button - Primary
- Filter: Spare Part - Dropdown - Searchable
- Filter: Date Range - Date range picker - Default: last 30 days
- Table: Date / Spare Part / Quantity / Source Reference / Recorded By
- Empty state: ""No stock-in records found.""
- Pagination

Popup: Create Stock-In
- Spare Part - Dropdown - Required - Searchable - scoped to BM's assigned buildings
- Quantity - Number - Required - Min 1
- Stock-In Date - Date picker - Required - Default: today - Format: dd/mm/yyyy
- Source Reference - Text field - Optional - Max 255 characters - e.g., purchase order number
- Notes - Textarea - Optional - Max 500 characters
- Cancel - Button - Secondary
- Save - Button - Primary","Flow: Record Stock-In Transaction (Building Manager)

Preconditions:
- BM authenticated. Spare part must exist and be Active within BM's buildings scope.

1. BM navigates to Inventories => Stock-In => clicks [+ New Stock-In].
2. Fills popup: Spare Part (required) / Quantity (required, min 1) / Stock-In Date (required, default today) / Source Reference (optional) / Notes (optional).
3. Clicks [Save]:
   3.1. Spare Part not selected => error: ""Please select a spare part.""
   3.2. Quantity empty or < 1 => error: ""Quantity must be at least 1.""
   3.3. Date empty => error: ""Stock-In date is required.""
   3.4. Future date => warning (not blocked): ""You are recording a future stock-in date. Are you sure?"" => BM confirms.
   3.5. Spare part is Inactive => error: ""Cannot record stock-in for an inactive spare part.""
   3.6. All valid:
    + On-Hand increases immediately.
    + Transaction logged in history.
    + System checks for pending Unavailable requests for this part.
    + If found => MSP Supervisor(s) notified: ""Spare part [Name] is now available. Please review pending work orders.""
    + Success toast: ""Stock-in recorded successfully.""

Edge cases:
- Network error => ""Failed to record stock-in. Please try again."" => no partial stock change.
"
120,3.6.7,,View Stock-In History,"- Accessible by Building Manager. Read-only. Scoped to BM's assigned buildings only.
- Shows history of all stock-in transactions for parts in BM's buildings.
- Filters: Spare Part, Date Range.","Screen: Stock-In History (Building Manager)

- Filter: Spare Part - Dropdown - Searchable - scoped to BM's assigned buildings
- Filter: Date Range - Date range picker - Default: last 30 days
- Table: Date / Spare Part / Quantity / Source Reference / Recorded By
- Empty state: ""No stock-in records found.""
- Pagination
- Read-only - no edit actions on history entries","Screen: Stock-In History (Building Manager)

Preconditions:
- BM authenticated.

1. BM navigates to Inventories => Stock-In.
2. System loads stock-in history scoped to BM's assigned buildings (default: last 30 days).
   + Columns: Date / Spare Part / Quantity / Source Reference / Recorded By.
3. BM applies Spare Part and Date Range filters => table updates.
4. Read-only - no edit or delete on history entries.
5. Empty state: ""No stock-in records found for the selected filters.""

Edge cases:
- Wide date range => may paginate or limit results with note.
"
121,3.6.8,,Perform Stock-Out,"- SYSTEM-TRIGGERED - not a manual Building Manager action.
- Triggered automatically when Building Manager approves a spare-part request from a Work Order.
- On-Hold reservation for that WO converts to Consumed.
- On-Hand Quantity decreases by the approved amount.
- BM can view the Stock-Out history log as read-only.","Screen: Stock-Out History (Building Manager - read-only monitoring)

- Filter: Spare Part - Dropdown - Searchable - scoped to BM's assigned buildings
- Filter: Work Order - Text field - Search by WO ID
- Filter: Date Range - Date range picker - Default: last 30 days
- Table: Date / Spare Part / Quantity / WO ID (hyperlink) / Reference / Processed By / Status
- Empty state: ""No stock-out records found.""
- Pagination
- Read-only view only","System Process: Stock-Out (Building Manager context)

Trigger: BM approves a spare-part request from a Work Order.

1. BM approves spare-part request (in WO Detail or dedicated request view).
2. System processes:
   2.1. Retrieves On-Hold reservation for this WO + spare part.
   2.2. Verifies current On-Hand:
    + Sufficient (On-Hand - other On-Holds >= requested):
     - On-Hold => Consumed.
     - On-Hand decreases by approved quantity.
     - Stock-Out transaction recorded: Date / Part / Quantity / WO ID / Processed By (system).
     - Available updates.
    + Insufficient (stock consumed by another WO in between):
     - Does NOT stock-out.
     - Marks request Unavailable.
     - BM notified: ""Spare part [Name] is no longer available for Work Order [ID]. Stock has been consumed by another request.""

Stock-Out Reversal:
3. WO cancelled after stock-out already occurred:
   + On-Hand restored by reversed amount.
   + Stock-Out record marked ""Reversed"" in history.

BM monitoring:
4. BM views Stock-Out history (3.6.9) but cannot manually trigger stock-out.

Edge cases:
- BM approves same request twice (system glitch) => second approval is idempotent (already-Consumed status detected; no action taken).
- Concurrent approvals deplete last stock unit => first wins; second triggers Unavailable.
"
122,3.6.9,,View Stock-Out History,"- Accessible by Building Manager. Read-only. Scoped to BM's assigned buildings only.
- Shows history of all stock-out transactions for parts in BM's buildings.
- Filters: Spare Part, Work Order, Date Range.","Screen: Stock-Out History (Building Manager)

- Filter: Spare Part - Dropdown - Searchable - scoped to BM's assigned buildings
- Filter: Work Order - Text field - Search by WO ID
- Filter: Date Range - Date range picker - Default: last 30 days
- Table: Date / Spare Part / Quantity / WO ID (hyperlink) / Reference / Processed By / Status
- Empty state: ""No stock-out records found.""
- Pagination
- Read-only - no edit actions","Screen: Stock-Out History (Building Manager)

Preconditions:
- BM authenticated.

1. BM navigates to Inventories => Stock-Out History.
2. System loads stock-out history scoped to BM's assigned buildings (default: last 30 days).
   + Columns: Date / Spare Part / Quantity / WO ID / Source Reference / Processed By / Status (Consumed/Reversed).
3. BM applies Spare Part / Work Order / Date Range filters.
4. BM clicks WO ID => navigates to WO Detail (3.4.2).
5. Read-only view; no edit actions.
6. Empty state: ""No stock-out records found for the selected filters.""

Edge cases:
- WO deleted (if hard-delete supported) => WO ID shows as ""[ID] (deleted)"" with no hyperlink.
"
123,3.6.10,,Reserve Spare Part (On-Hold),"- SYSTEM-TRIGGERED - not a manual Building Manager action.
- Triggered automatically when a spare-part request is submitted by a Technician or Supervisor for a WO.
- Requested quantity placed On-Hold to prevent other WOs consuming same stock.
- BM can view the On-Hold monitoring screen.","Screen: On-Hold Inventory (Building Manager - monitoring view)

- Filter: Spare Part - Dropdown - Searchable - scoped to BM's assigned buildings
- Filter: Work Order - Text field - Search by WO ID
- Filter: Status - Dropdown - All / Active / Released / Consumed
- Table: Spare Part / Reserved Qty / WO ID (hyperlink) / Reserved Date / Status
- Empty state: ""No on-hold reservations found.""
- Pagination
- Read-only monitoring view for BM","System Process: Reserve Spare Part On-Hold (Building Manager context)

Trigger: Technician or Supervisor submits a spare-part request for a WO.

1. System checks Available stock (On-Hand - existing On-Holds):
   + Sufficient:
    - On-Hold reservation created: Part / WO ID / Quantity / Status: Active.
    - Available decreases. On-Hold increases.
    - Request status: Pending BM approval.
   + Insufficient:
    - On-Hold NOT set.
    - Request flagged Unavailable.
    - BM notified (in-app + email): ""Spare part [Name] is unavailable for Work Order [ID]. Available: [N], Requested: [M].""
    - Unavailable handling flow triggered (3.6.12).

Auto-release triggers:
- WO cancelled => all On-Holds for that WO released.
- BM rejects request => On-Hold released.
- BM approves request => On-Hold => Consumed (stock-out).

BM monitoring view: BM can see On-Hold reservations for their buildings in the Inventories => On-Hold screen.

Edge cases:
- Concurrent requests for same part when only enough for one => first processed wins; second flagged Unavailable.
"
124,3.6.11,,Release On-Hold Spare Part,"- Auto-released by system on: WO cancelled / request rejected by BM / stock-out confirmed after approval.
- BM can also manually release an On-Hold in exceptional cases.
- Manual release requires confirmation.","Popup: Confirm Release On-Hold (Building Manager)

- Message - Display - Text: ""Release the On-Hold reservation for [Spare Part Name] linked to Work Order [WO ID]?""
- Release - Button - Primary
- Cancel - Button - Secondary","Flow: Release On-Hold Spare Part (Building Manager)

Automatic release (system-triggered):
- WO cancelled / BM rejects request / BM approves and stock-out executed.
- System releases On-Hold => Available increases.

Manual release by BM (exceptional cases):
1. BM navigates to Inventories => On-Hold view.
2. Identifies stuck On-Hold entry (e.g., WO in error state).
3. BM clicks [Release] on Active On-Hold.
4. Confirmation popup: ""Manually release this On-Hold reservation for [WO ID]? This cannot be undone.""
5. BM confirms:
   + On-Hold released. Available increases.
   + Stock-Out does NOT occur.
   + History log: ""On-Hold manually released by [BM Name] at [timestamp].""
   + Success toast: ""On-Hold released.""
6. BM cancels => no change.

Edge cases:
- On-Hold stuck due to system error (WO cannot be found) => manual release is the recovery path.
- Releasing On-Hold for a WO that is still active => WO continues but Technician can no longer use that reserved stock; Supervisor/Technician must request again.
"
125,3.6.12,,Handle Spare Part Unavailable,"- Accessible by Building Manager as monitoring only.
- Triggered when a stock-out is attempted but insufficient stock remains after On-Hold reservations.
- WO is NOT automatically stopped - BM decides how to proceed.
- BM can approve continuation or wait for restock.","Screen: Unavailable Spare Part Requests (Building Manager - monitoring)

- Filter: Work Order - Text field - Search by WO ID
- Filter: Status - Dropdown - All / Awaiting BM Decision / Approved to Continue / Waiting for Restock
- Table: WO ID (hyperlink) / Spare Part / Requested Qty / Available Qty / Shortage / BM Note / Status / Date Flagged
- Empty state: ""No unavailable spare part requests.""
- Pagination
- BM Note field - Editable inline to add a note when approving continuation","Flow: Handle Spare Part Unavailable (Building Manager)

Trigger: System marks a spare-part request Unavailable due to insufficient stock.

1. BM receives in-app notification + email: ""Spare part [Name] is unavailable for Work Order [ID]. Available: [N], Requested: [M].""
2. BM navigates to WO Detail or Inventories => Unavailable Requests.
3. BM reviews shortage: WO ID / Spare Part / Requested Qty / Available Qty / Shortage.

4. BM chooses action:

4a. Approve Continuation:
   + BM clicks [Approve Continuation].
   + Optional note field.
   + Request status => Approved to Continue.
   + WO NOT blocked; Technician can proceed with other checklist items.
   + Supervisor notified: ""BM approved continuation for WO [ID] without [Spare Part Name].""
   + Technician records part as Purchase Separately or notes absence.

4b. Wait for Restock:
   + BM leaves request in Unavailable or selects [Wait for Restock].
   + Status => Waiting for Restock.
   + When Stock-In brings Available >= requested:
    - System checks all pending Unavailable requests.
    - Notifies BM and Supervisor: ""Spare part [Name] is now available for WO [ID].""
    - BM revisits to approve stock-out.

Edge cases:
- BM unavailable and WO urgent => no auto-escalation in MVP. Manual follow-up required.
- Stock arrives but another WO claims it first => request returns to Unavailable; BM re-notified.
- FIFO processing when multiple WOs await same part after restock => pending client confirmation.
"
126,3.6.13,,View Spare Part Usage per Work Order,"- Accessible by Building Manager. Read-only. Scoped to BM's assigned buildings only.
- Shows planned vs actual spare part quantities per WO.
- Filters: Spare Part, WO, Date Range.","Screen: Spare Part Usage (Building Manager)

- Filter: Spare Part - Dropdown - Searchable - scoped to BM's assigned buildings
- Filter: Work Order - Text field - Search by WO ID
- Filter: Date Range - Date range picker - Default: last 30 days
- Table: WO ID (hyperlink) / Spare Part / Category / Planned Qty / Actual Qty / Variance / Date / Technician
- Empty state: ""No usage records found.""
- Pagination
- Read-only","Screen: Spare Part Usage per Work Order (Building Manager)

Preconditions:
- BM authenticated.

1. BM navigates to Inventories => Spare Part Usage.
2. System loads usage records scoped to BM's assigned buildings (default: last 30 days).
   + Columns: WO ID / Spare Part / Category / Planned Qty / Actual Qty / Variance / Date / Technician.
3. BM applies Spare Part / Work Order / Date Range filters.
4. BM clicks WO ID => navigates to WO Detail (3.4.2).
5. Read-only.
6. Empty state: ""No usage records found for the selected filters.""

Edge cases:
- Purchase Separately entries => Source = ""Purchase Separately"", no Code column.
- WO cancelled before BM approval => Planned shown, Actual = 0, Variance = negative.
"
,3.7,Maintenance Plan Management,Maintenance Plan Management,,,
127,3.7.1,Maintenance Plan Management,View Maintenance Plan List,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- BM sees all plans for their buildings regardless of who created them: Admin-created, BM-created, and Supervisor-created (including Pending plans awaiting BM approval).
- Statuses: Active / Inactive / Pending / Cancelled / Approval Rejected.
- Filters: Status, Asset System, Frequency, Date Range.","Screen: Maintenance Plan List (Building Manager)

- Search - Text field - Placeholder: ""Search by plan name or ID""
- Filter: Status - Dropdown - All / Active / Inactive / Pending / Cancelled / Approval Rejected
- Filter: Asset System - Dropdown - All Systems
- Filter: Frequency - Dropdown - All / Monthly / Quarterly / Yearly
- Filter: Date Range - Date range picker
- [+ Create] - Button - Primary
- Table:
  + ID + timestamp - Text
  + Name + Frequency badge - Text - Clickable => Plan Detail (3.7.2)
  + Asset Type (Sub-system • System) - Text
  + Building - Text
  + Status - Badge - Active (green) / Pending (amber) / Inactive (grey) / Cancelled (red)
  + Actions - Approve icon (for Pending plans) | ? deactivate icon
- Result count - Display
- Empty state: ""No maintenance plans found.""
- Pagination","Screen: Maintenance Plan List (Building Manager)

Preconditions:
- BM authenticated. List scoped to BM's assigned buildings only.

1. BM navigates to Maintenance Plan.
2. System loads all plans for BM's assigned buildings (Admin-created, BM-created, Supervisor-created) with defaults.
3. Columns: ID / Name + Frequency badge / Asset Type / Building / Created By / Status badge / Actions.
4. BM applies filters: Status / Asset System / Frequency / Date Range.
5. BM searches by plan name or ID.
6. BM clicks plan name => Plan Detail (3.7.2).
7. BM clicks [+ Create] => Create Plan (3.7.3).
8. Approve icon shown for Pending plans => triggers Approve Plan (3.7.5).
9. ? icon for Active/Inactive plans => triggers Set Inactive (3.7.7).
10. Empty state: ""No maintenance plans found.""

Edge cases:
- BM's buildings have no plans => empty state shown.
- List fails to load => error: ""Failed to load maintenance plans. Please refresh.""
"
128,3.7.2,,View Maintenance Plan Detail,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Plan header + 3 tabs: Round / Assets / Work Orders.
- BM action buttons: [Approve Plan] for Pending plans, [Reject Plan] for Pending plans, [Set Inactive] for Active plans, [Set Cancelled] for Active plans.
- History log on right panel.","Page: Maintenance Plan Detail (Building Manager)

- Back arrow - Navigates to Maintenance Plan List (3.7.1)
- Plan Name - Title
- Plan ID + timestamp + Status badge
- Print Report - Button - Secondary - top-right
- Action buttons (status-dependent):
  + Pending: [Approve Plan] - Button - Primary | [Reject Plan] - Button - Secondary
  + Active: [Set Inactive] - Button - Secondary | [Set Cancelled] - Button - Secondary (Danger)
  + Inactive: [Set Active] - Button - Primary | [Set Cancelled] - Button - Secondary (Danger)
  + Cancelled: read-only (no actions)

Section: Details (read-only with edit pencil - BM can edit own plans)
- Asset Type / Sub-system / System / Frequency / Time Required / Building / Description / Remark / Photos

Tab: Round
- Table: Round No / Start Date / End Date / Status / Completion Rate
- Empty state: ""No rounds yet.""

Tab: Assets
- Table: Asset Code / Asset Name / Location / Main Technician / WO Status
- Assign / Bulk assign Technician (BM can assign for own plans)
- Empty state: ""No assets added to this plan.""

Tab: Work Orders
- Table: WO ID / Asset / Round / Technician / Status / Completion Date
- WO ID - hyperlink => WO Detail
- Empty state: ""No work orders generated yet.""

Right panel: History log
- Entries: timestamp + event label
- View more - Hyperlink","Screen: Maintenance Plan Detail (Building Manager)

Preconditions:
- BM authenticated. Plan within BM's assigned buildings scope.

1. BM clicks plan name => Detail page loads.
2. Header: Plan Name / ID + timestamp / Status badge / [Print Report].
3. Action buttons (status-dependent):
   + Pending: [Approve Plan] (Primary) | [Reject Plan] (Secondary).
   + Active: [Set Inactive] (Secondary) | [Set Cancelled] (Danger).
   + Inactive: [Set Active] (Primary) | [Set Cancelled] (Danger).
   + Cancelled: no actions (read-only).
4. Details section (read-only with edit pencil for BM's own plans): Asset Type / Sub-system / System / Frequency / Time Required / Building / Description / Remark / Photos.
5. Tab: Round => Table: Round No / Start Date / End Date / Status / Completion Rate.
6. Tab: Assets => Table: Asset Code / Name / Location / Main Technician / Last WO Status. [+ Add Asset] / [Assign Technician] / Remove per row.
7. Tab: Work Orders => Table: WO ID (hyperlink) / Asset / Round / Technician / Status / Completion Date.
8. Right panel: History log with [View more].

Actions:
9. [Approve Plan] => Approve flow (3.7.5).
10. [Reject Plan] => Reject flow (3.7.6).
11. [Set Inactive] => Set Inactive flow (3.7.7).
12. [Set Cancelled] => Cancel Plan flow (3.7.8).

Edge cases:
- Plan has 0 assets => Assets tab empty state: ""No assets added. Click [+ Add Asset] to start.""
- Cancelled plan: all tabs read-only; history log still shows full timeline.
- Detail fails to load => error: ""Failed to load plan details. Please go back and try again.""
"
129,3.7.3,,Create Maintenance Plan,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- BM creates plan => status: Active immediately (no approval required).
- Building dropdown restricted to BM's assigned buildings.","Page: Create Maintenance Plan (Building Manager)

- Plan Name - Text field - Required - Max 150 characters
- Asset System - Dropdown - Required
- Asset Sub-system - Dropdown - Required - Cascades from System
- Asset Type - Dropdown - Required - Cascades from Sub-system
- Building - Dropdown - Required - Values: BM's assigned buildings only
- Frequency - Dropdown - Required - Monthly / Quarterly / Yearly
- Time Required to Complete - Text field - Required - e.g., ""3 days""
- Description - Textarea - Optional - Max 500 characters
- Remark - Textarea - Optional - Max 500 characters
- Photos - Multi-upload - Optional - JPG/PNG - Max 5 MB per photo

- Cancel - Button - Secondary
- Create - Button - Primary","Flow: Create Maintenance Plan (Building Manager)

Preconditions:
- BM authenticated. Asset Types and Buildings must exist.

1. BM clicks [+ Create] => Create Maintenance Plan page.
2. Fills required fields: Plan Name / Asset System / Sub-system / Asset Type / Building (BM's assigned only) / Frequency / Time Required.
3. Optional: Description / Remark / Photos.
4. Clicks [Create]:
   4.1. Plan Name empty => error: ""Plan name is required.""
   4.2. Plan Name > 150 chars => error: ""Plan name must not exceed 150 characters.""
   4.3. Asset System / Sub-system / Asset Type not selected => respective errors.
   4.4. Building not selected => error: ""Building is required.""
   4.5. Building outside BM's scope => not in dropdown.
   4.6. Frequency not selected => error: ""Frequency is required.""
   4.7. Time Required empty => error: ""Time required is required.""
   4.8. All valid:
    + Plan created with Status: Active immediately (BM plans need no approval).
    + First WO cycle scheduled.
    + Success toast: ""Maintenance plan created successfully.""
5. Clicks [Cancel] => back to list.

Edge cases:
- Plan created with 0 assets => valid; no WOs generated until assets added.
- Network error => ""Failed to create plan. Please try again.""
"
130,3.7.4,,Edit Maintenance Plan,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Edit Details section via pencil icon on Plan Detail page => Edit popup.
- BM can update: Name, Description, Remark, Photos, Frequency, Time Required.","Popup: Edit Plan Details (Building Manager)

- Plan Name - Text field - Required - Pre-filled - Max 150 characters
- Frequency - Dropdown - Required - Pre-filled - Monthly / Quarterly / Yearly
- Time Required to Complete - Text field - Required - Pre-filled
- Description - Textarea - Optional - Pre-filled - Max 500 characters
- Remark - Textarea - Optional - Pre-filled - Max 500 characters
- Photos - Multi-upload - Optional - Pre-filled thumbnails shown - Add/remove individual photos
- Cancel - Button - Secondary
- Save - Button - Primary","Flow: Edit Maintenance Plan (Building Manager)

Preconditions:
- BM authenticated. Plan within BM's scope. Status must be Active or Inactive.

1. BM navigates to Plan Detail (3.7.2) => clicks pencil on Details section.
2. Edit popup pre-filled: Plan Name / Frequency / Time Required / Description / Remark / Photos.
3. Modifies => [Save]:
   3.1. Plan Name empty => error: ""Plan name is required.""
   3.2. Frequency not selected => error: ""Frequency is required.""
   3.3. Time Required empty => error: ""Time required is required.""
   3.4. Valid => plan updated. Next WO cycle uses new Frequency.
   + Success toast: ""Plan updated successfully.""
4. [Cancel] => popup closes, no change.

Assets tab edits (separate from Details):
5. [+ Add Asset] => asset selector filtered to plan's building and Asset System.
6. Remove asset per row => confirmation: ""Remove [Asset Name]? Active WOs for this asset will not be affected."" => confirms => removed.
7. [Assign Technician] per row => Technician selector.

Edge cases:
- Frequency changed => recalculation of next cycle pending client confirmation.
- Editing Cancelled plan => not possible (pencil not shown).
"
131,3.7.5,,Approve Maintenance Plan (Submitted by MSP Supervisor),"- Accessible by Building Manager. Scoped to assigned buildings only.
- BM approves Supervisor-submitted plans (status: Pending => Active).
- Once Active => WOs auto-generate.","Button: [Approve Maintenance Plan] - Primary (on Plan Detail when status = Pending)
Popup: Confirm Approve
- Message: ""Approve this plan? Work orders will begin auto-generating.""
- Confirm + Cancel","Flow: Approve Maintenance Plan (Building Manager)

Preconditions:
- BM authenticated. Plan must be in Pending status (submitted by MSP Supervisor). Within BM's scope.

1. BM opens Pending plan Detail (3.7.2) or clicks Approve icon from list.
2. BM reviews plan details: Asset Type / Building / Frequency / Time Required / Description.
3. BM clicks [Approve Plan].
4. Confirmation popup: ""Approve this maintenance plan? Work orders will begin generating automatically on the next scheduled cycle.""
5. BM clicks [Approve]:
   5.1. System checks plan is still in Pending status:
    + Status changed => error: ""This plan has already been processed. Please refresh."" => flow stops.
   5.2. Valid:
    + Plan status => Active.
    + WO auto-generation scheduled for next cycle.
    + MSP Supervisor notified: ""Your maintenance plan [Name] has been approved. Work orders will be generated on the next scheduled cycle.""
    + History log: ""Approved by [BM Name] at [timestamp].""
    + Success toast: ""Maintenance plan approved successfully.""
6. BM clicks [Cancel] => no change.

Edge cases:
- Supervisor modifies plan while BM is reviewing (if edit allowed in Pending status) => BM sees stale data; on approve, system applies latest version.
- Network error => ""Failed to approve plan. Please try again.""
"
132,3.7.6,,Reject Maintenance Plan,"- Accessible by Building Manager. Scoped to assigned buildings only.
- BM rejects Supervisor-submitted plans.
- Rejection Reason REQUIRED.","Button: [Reject] - Secondary on Pending Plan Detail
Popup: Confirm Reject
- Reason - Textarea - REQUIRED
- Reject (Danger) + Cancel","Flow: Reject Maintenance Plan (Building Manager)

Preconditions:
- BM authenticated. Plan must be in Pending status. Within BM's scope.

1. BM opens Pending plan Detail => clicks [Reject Plan].
2. Popup with REQUIRED Rejection Reason (Textarea, max 500 chars).
3. BM enters reason => clicks [Reject]:
   3.1. Reason empty => error: ""Rejection reason is required."" => does NOT reject.
   3.2. Valid:
    + Plan status => Approval Rejected.
    + MSP Supervisor notified: ""Your maintenance plan [Name] has been rejected. Reason: [reason]. Please revise and resubmit.""
    + History log: ""Rejected by [BM Name]. Reason: [reason] at [timestamp].""
    + Success toast: ""Maintenance plan rejected.""
4. BM clicks [Cancel] => popup closes, no change.

After rejection:
5. Supervisor edits the plan (while in Approval Rejected status) and resubmits.
6. Plan returns to Pending => BM reviews again.

Edge cases:
- Network error => ""Failed to reject plan. Please try again.""
"
133,3.7.7,,Set Maintenance Plan Inactive,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Temporarily suspends the plan - no new WOs will be generated.
- Plan data and history preserved. Can be reactivated later.
- Active WOs already in progress are NOT affected.","Action: [Set Inactive] button on Plan Detail (Building Manager)

Popup: Confirm Set Inactive
- Message - Display - Text: ""Set this plan to Inactive? No new Work Orders will be generated until the plan is reactivated.""
- Confirm - Button - Primary
- Cancel - Button - Secondary","Flow: Set Maintenance Plan Inactive (Building Manager)

Preconditions:
- BM authenticated. Plan within BM's scope. Status must be Active.

1. BM clicks [Set Inactive] on Plan Detail.
2. Confirmation popup: ""Set this plan to Inactive? No new Work Orders will be generated until reactivated. Active WOs in progress will not be affected.""
3. BM clicks [Confirm]:
   + Status => Inactive.
   + WO auto-generation suspended for future cycles.
   + In-progress WOs (Assigned/Started/Completed/Verified) continue normally.
   + [Set Inactive] replaced by [Set Active] on Detail page.
   + History log: ""Set to Inactive by [BM Name] at [timestamp].""
   + Success toast: ""Maintenance plan set to inactive.""
4. BM clicks [Cancel] => no change.

Reactivate:
5. BM clicks [Set Active] => confirmation: ""Reactivate this plan? Work Order generation will resume from the next scheduled cycle.""
6. Confirms:
   + Status => Active.
   + WO generation resumes next cycle.
   + Missed cycles during inactive period NOT retroactively generated.
   + Success toast: ""Maintenance plan reactivated.""

Edge cases:
- Network error => ""Failed to update plan. Please try again.""
"
134,3.7.8,,Cancel Maintenance Plan,"- Accessible by Building Manager. Scoped to BM's assigned buildings only.
- Permanently stops the plan. Terminal state - cannot be undone.
- Active WOs already in progress are NOT cancelled - they continue.","Action: [Set Cancelled] button on Plan Detail (Building Manager)

Popup: Confirm Cancel Plan
- Message - Display - Text: ""Cancel this plan? No future Work Orders will be generated. This action cannot be undone.""
- Cancel Plan - Button - Danger
- Keep Plan - Button - Secondary","Flow: Cancel Maintenance Plan (Building Manager)

Preconditions:
- BM authenticated. Plan within BM's scope. Status must be Active or Inactive.

1. BM clicks [Set Cancelled] on Plan Detail.
2. Confirmation popup with IRREVERSIBLE WARNING:
   ""Cancel this maintenance plan? No future Work Orders will be generated. This action CANNOT be undone.""
   Buttons: [Cancel Plan] (Danger) / [Keep Plan] (Secondary).
3. BM clicks [Cancel Plan]:
   + Status => Cancelled (TERMINAL STATE).
   + WO auto-generation permanently stopped.
   + In-progress WOs continue unaffected.
   + All action buttons removed from Detail page.
   + History log: ""Cancelled by [BM Name] at [timestamp].""
   + Success toast: ""Maintenance plan cancelled.""
4. BM clicks [Keep Plan] => popup closes, plan unchanged.

Edge cases:
- BM accidentally cancels => NO recovery. A new plan must be created.
- Network error => ""Failed to cancel plan. Please try again."" => plan remains in previous status.
"
135,3.7.9,,View Maintenance History,"- Accessible by Building Manager. Read-only. Scoped to BM's assigned buildings only.
- Accessible via Asset Detail (per asset) and Plan Detail Round/WO tabs.
- Records cannot be altered after WO closure.","Maintenance History - accessible from 2 locations (Building Manager):

Location 1: Asset Detail (3.5.2) - Maintenance History section
- Table: WO ID (hyperlink) / Plan Name / Round / Completed Date / Technician / Status
- Empty state: ""No maintenance history.""

Location 2: Plan Detail (3.7.2) - Round tab
- Table: Round No / Date Range / Status / Completion Rate
- Empty state: ""No rounds yet.""

Plan Detail - Work Orders tab
- Table: WO ID (hyperlink) / Asset / Round / Technician / Status / Completion Date
- Empty state: ""No work orders generated yet."" ","Screen: View Maintenance History (Building Manager)

Preconditions:
- BM authenticated. All history scoped to BM's assigned buildings only.

Access via Asset Detail:
1. BM opens Asset Detail (3.5.2) => Maintenance History section.
2. Table: WO ID / Plan Name / Round / Completed Date / Technician / Status.
3. BM clicks WO ID => WO Detail (3.4.2).
4. Empty: ""No maintenance history for this asset.""

Access via Plan Detail - Round Tab:
5. BM opens Plan Detail (3.7.2) => Round tab.
6. Table: Round No / Start Date / End Date / Status / Completion Rate.
7. Empty: ""No rounds yet.""

Access via Plan Detail - Work Orders Tab:
8. Table: WO ID / Asset / Round / Technician / Status / Completion Date.
9. BM clicks WO ID => WO Detail (3.4.2).
10. Empty: ""No work orders generated yet.""

All records are read-only - no edit or delete after WO closure.

Edge cases:
- Deactivated asset still shows in history with Inactive badge.
- Cancelled plan still shows all WOs generated before cancellation.
- Large history => pagination applied.
"
Mobile - Building Manager App,,,,,,
,4.1,Authentication & Dashboard,Authentication & Dashboard,,,
